Client ID,Best Local Accuracy,Best Local Accuracy Top-5,Best Global Accuracy,Best Global Accuracy Top-5,Best Global Model Train,Best Global Model Test,Best Global Model Train,Best Global Model Test,Hyperparameters
0,0.0,0.0,0.0,0.0,0.44090108834827146,0.3916,0.7551016325224071,0.6992,"{'epochs': 5, 'comm_round': 300, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 3, 'n_parties': 100, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=100_beta=0.1_batch_size=64_opt=adam_dataset=cifar100_2024-04-15-1441-37', 'seed': 1, 'device': 'cuda:6', 'accuracies_file': 'logs/resnet_50_100_users_300_epochs.csv', 'dont_skip': False, 'n_train_workers': 1, 'n_test_workers': 1, 'multiprocessing': 0}"
1,0.0,0.0,0.0,0.0,0.44090108834827146,0.3916,0.7551016325224071,0.6992,"{'epochs': 5, 'comm_round': 300, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 3, 'n_parties': 100, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=100_beta=0.1_batch_size=64_opt=adam_dataset=cifar100_2024-04-15-1441-37', 'seed': 1, 'device': 'cuda:6', 'accuracies_file': 'logs/resnet_50_100_users_300_epochs.csv', 'dont_skip': False, 'n_train_workers': 1, 'n_test_workers': 1, 'multiprocessing': 0}"
2,0.0,0.0,0.0,0.0,0.44090108834827146,0.3916,0.7551016325224071,0.6992,"{'epochs': 5, 'comm_round': 300, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 3, 'n_parties': 100, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=100_beta=0.1_batch_size=64_opt=adam_dataset=cifar100_2024-04-15-1441-37', 'seed': 1, 'device': 'cuda:6', 'accuracies_file': 'logs/resnet_50_100_users_300_epochs.csv', 'dont_skip': False, 'n_train_workers': 1, 'n_test_workers': 1, 'multiprocessing': 0}"
3,0.0,0.0,0.0,0.0,0.44090108834827146,0.3916,0.7551016325224071,0.6992,"{'epochs': 5, 'comm_round': 300, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 3, 'n_parties': 100, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=100_beta=0.1_batch_size=64_opt=adam_dataset=cifar100_2024-04-15-1441-37', 'seed': 1, 'device': 'cuda:6', 'accuracies_file': 'logs/resnet_50_100_users_300_epochs.csv', 'dont_skip': False, 'n_train_workers': 1, 'n_test_workers': 1, 'multiprocessing': 0}"
4,0.0,0.0,0.0,0.0,0.44090108834827146,0.3916,0.7551016325224071,0.6992,"{'epochs': 5, 'comm_round': 300, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 3, 'n_parties': 100, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=100_beta=0.1_batch_size=64_opt=adam_dataset=cifar100_2024-04-15-1441-37', 'seed': 1, 'device': 'cuda:6', 'accuracies_file': 'logs/resnet_50_100_users_300_epochs.csv', 'dont_skip': False, 'n_train_workers': 1, 'n_test_workers': 1, 'multiprocessing': 0}"
5,0.0,0.0,0.0,0.0,0.44090108834827146,0.3916,0.7551016325224071,0.6992,"{'epochs': 5, 'comm_round': 300, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 3, 'n_parties': 100, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=100_beta=0.1_batch_size=64_opt=adam_dataset=cifar100_2024-04-15-1441-37', 'seed': 1, 'device': 'cuda:6', 'accuracies_file': 'logs/resnet_50_100_users_300_epochs.csv', 'dont_skip': False, 'n_train_workers': 1, 'n_test_workers': 1, 'multiprocessing': 0}"
6,0.0,0.0,0.0,0.0,0.44090108834827146,0.3916,0.7551016325224071,0.6992,"{'epochs': 5, 'comm_round': 300, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 3, 'n_parties': 100, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=100_beta=0.1_batch_size=64_opt=adam_dataset=cifar100_2024-04-15-1441-37', 'seed': 1, 'device': 'cuda:6', 'accuracies_file': 'logs/resnet_50_100_users_300_epochs.csv', 'dont_skip': False, 'n_train_workers': 1, 'n_test_workers': 1, 'multiprocessing': 0}"
7,0.0,0.0,0.0,0.0,0.44090108834827146,0.3916,0.7551016325224071,0.6992,"{'epochs': 5, 'comm_round': 300, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 3, 'n_parties': 100, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=100_beta=0.1_batch_size=64_opt=adam_dataset=cifar100_2024-04-15-1441-37', 'seed': 1, 'device': 'cuda:6', 'accuracies_file': 'logs/resnet_50_100_users_300_epochs.csv', 'dont_skip': False, 'n_train_workers': 1, 'n_test_workers': 1, 'multiprocessing': 0}"
8,0.0,0.0,0.0,0.0,0.44090108834827146,0.3916,0.7551016325224071,0.6992,"{'epochs': 5, 'comm_round': 300, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 3, 'n_parties': 100, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=100_beta=0.1_batch_size=64_opt=adam_dataset=cifar100_2024-04-15-1441-37', 'seed': 1, 'device': 'cuda:6', 'accuracies_file': 'logs/resnet_50_100_users_300_epochs.csv', 'dont_skip': False, 'n_train_workers': 1, 'n_test_workers': 1, 'multiprocessing': 0}"
9,0.0,0.0,0.0,0.0,0.44090108834827146,0.3916,0.7551016325224071,0.6992,"{'epochs': 5, 'comm_round': 300, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 3, 'n_parties': 100, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=100_beta=0.1_batch_size=64_opt=adam_dataset=cifar100_2024-04-15-1441-37', 'seed': 1, 'device': 'cuda:6', 'accuracies_file': 'logs/resnet_50_100_users_300_epochs.csv', 'dont_skip': False, 'n_train_workers': 1, 'n_test_workers': 1, 'multiprocessing': 0}"
